UNIQUE REF,Description,Element Description,Entity,ENEntity Name,PymtDate,SumOfNet Amt,SumOfVatAmt,SumOfGross Amt,
EXCHEQ19208802,Children & Younger Persons,Consultancy / Professional Fees,93647,CROSS CHARLES MUSIC SCHOOL,01/06/2010,798.00,0.00,798.00,
CYPSWLOC19138729,Children & Younger Persons,Addt Cost For Dept,89291,CROSSE & CROSSE,01/06/2010,507.80,74.86,582.66,
EXCHEQ19209816,Children & Younger Persons,External Trainers Costs,70294,D A I S I,01/06/2010,676.00,0.00,676.00,
LDP19654836,Children & Younger Persons,Grants to Voluntary Bodies,70294,D A I S I,01/06/2010,44160.00,0.00,44160.00,
EXCHEQ19208814,Children & Younger Persons,Other Hired Transport- Education,11216,DARTLINE COACHES,01/06/2010,710.00,0.00,710.00,
CFADDAY18967798,Adult & Community Services,Day Care Spot,90714,DAWLISH GARDENS TRUST,01/06/2010,543.20,0.00,543.20,
CFADDAY18967799,Adult & Community Services,Day Care Spot,90714,DAWLISH GARDENS TRUST,01/06/2010,1086.40,0.00,1086.40,
CFADDAY18967800,Adult & Community Services,Individualised Support,90714,DAWLISH GARDENS TRUST,01/06/2010,543.20,0.00,543.20,
CFADDAY18967802,Adult & Community Services,Day Care Spot,90714,DAWLISH GARDENS TRUST,01/06/2010,543.20,0.00,543.20,
FINNDAD19407382,Adult & Community Services,Dom Care Spot,157194,DORSET SCOPE,01/06/2010,1258.78,0.00,1258.78,
CFADDAY18967836,Adult & Community Services,Individualised Support,159378,DOVE PROJECT,01/06/2010,2317.16,0.00,2317.16,
CFADDAY18967838,Adult & Community Services,Individualised Support,159378,DOVE PROJECT,01/06/2010,5400.80,0.00,5400.80,
CFADDAY18967839,Adult & Community Services,Day Care Spot,159378,DOVE PROJECT,01/06/2010,770.60,0.00,770.60,
CFADDAY18967841,Adult & Community Services,Individualised Support,159378,DOVE PROJECT,01/06/2010,1183.36,0.00,1183.36,
CFADDAY18967842,Adult & Community Services,Individualised Support,159378,DOVE PROJECT,01/06/2010,3704.08,0.00,3704.08,
CFADDOM18979738,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,507.48,0.00,507.48,
CFADDOM18979739,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,1024.60,0.00,1024.60,
CFADDOM18979740,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,1024.60,0.00,1024.60,
CFADDOM18979741,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,1061.84,0.00,1061.84,
CFADDOM18979742,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,751.20,0.00,751.20,
CFADDOM18979743,Adult & Community Services,Dom Care Spot,159378,DOVE PROJECT,01/06/2010,1040.36,0.00,1040.36,
CFADDOM18979655,Adult & Community Services,Dom Care Spot,72914,ELITE CARE & NURSING AGENCY,01/06/2010,518.50,0.00,518.50,
CFADDOM18979656,Adult & Community Services,Dom Care Spot,72914,ELITE CARE & NURSING AGENCY,01/06/2010,2287.50,0.00,2287.50,
EARLYRS19189868,Children & Younger Persons,Course Fees / Registration,6141,EXETER COLLEGE (HELE ROAD),01/06/2010,1450.00,0.00,1450.00,
EXCHEQ19209535,Children & Younger Persons,Insurance other - external,23047,EXETER DIOCESAN BOARD OF FINANCE,01/06/2010,1344.71,0.00,1344.71,
EXCHEQ19209697,Children & Younger Persons,Insurance other - external,23047,EXETER DIOCESAN BOARD OF FINANCE,01/06/2010,634.34,0.00,634.34,
EXCHEQ19209771,Children & Younger Persons,Scraps Interface Error Suspense,23047,EXETER DIOCESAN BOARD OF FINANCE,01/06/2010,3033.22,0.00,3033.22,
CFADDAY18967745,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2039.44,0.00,2039.44,
CFADDAY18967746,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2872.80,0.00,2872.80,
CFADDAY18967747,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2679.84,0.00,2679.84,
CFADDAY18967748,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2615.60,0.00,2615.60,
CFADDAY18967749,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2872.80,0.00,2872.80,
CFADDAY18967750,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2679.92,0.00,2679.92,
CFADDAY18967751,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,2615.60,0.00,2615.60,
CFADDAY18967752,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,807.56,0.00,807.56,
CFADDAY18967753,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,807.56,0.00,807.56,
CFADDAY18967755,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,514.56,0.00,514.56,
CFADDAY18967756,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,940.80,0.00,940.80,
CFADDAY18967757,Adult & Community Services,Individualised Support,34218,GUINNESS CARE & SUPPORT,01/06/2010,514.56,0.00,514.56,
DHRP19156525,Corporate Resources,Service Charges For Rented Property,51379,HAARER GOSS,01/06/2010,3335.00,583.63,3918.63,
EXCHEQ19209223,Children & Younger Persons,Consumable Materials,67885,HARRIS EDUCATION PHILIP,01/06/2010,871.65,152.54,1024.19,
EXCHEQ19209083,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,765.00,133.88,898.88,
EXCHEQ19209266,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,489.60,85.68,575.28,
EXCHEQ19209414,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,580.00,101.50,681.50,
EXCHEQ19209636,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,644.48,112.78,757.26,
EXCHEQ19209637,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,805.60,140.98,946.58,
EXCHEQ19209639,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,483.36,84.59,567.95,
EXCHEQ19209640,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,644.48,112.78,757.26,
EXCHEQ19209643,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,644.48,112.78,757.26,
EXCHEQ19209920,Children & Younger Persons,Hire Of Temporary / Agency Staff,138542,HAYS EDUCATION,01/06/2010,579.30,101.38,680.68,
RSOUTH19586694,"Environment, Economy & Culture",Other Contractor (Non),205550,KNOWLE TREE SERVICES,01/06/2010,1225.23,214.42,1439.65,
CFADDAY18967856,Adult & Community Services,Individualised Support,198291,LARKSTONE SUPPORTED LIVING,01/06/2010,594.94,0.00,594.94,
CFADDAY18967857,Adult & Community Services,Individualised Support,198291,LARKSTONE SUPPORTED LIVING,01/06/2010,540.00,0.00,540.00,
CFADDAY18967858,Adult & Community Services,Individualised Support,198291,LARKSTONE SUPPORTED LIVING,01/06/2010,1020.00,0.00,1020.00,
CFADDAY18967859,Adult & Community Services,Individualised Support,198291,LARKSTONE SUPPORTED LIVING,01/06/2010,600.00,0.00,600.00,
EXCHEQ19210128,Children & Younger Persons,Educational Visits,244664,LIFE EDUCATION WESSEX,01/06/2010,900.00,0.00,900.00,
CFADDAY18967783,Adult & Community Services,Individualised Support,89556,LYNDRIDGE CARE,01/06/2010,1744.29,0.00,1744.29,
EXCHEQ19209760,Children & Younger Persons,Internal Works,165401,M P CARPETS,01/06/2010,651.82,0.00,651.82,
EXCHEQ19208760,Children & Younger Persons,Teachers paid by claim - Pay,167316,MAKIN MUSIC,01/06/2010,995.94,0.00,995.94,
CFADDOM18979776,Adult & Community Services,Dom Care Spot,193286,MEDICO HOME CARE,01/06/2010,712.32,0.00,712.32,
EXCHEQ19209017,Children & Younger Persons,Educational Visits,189674,MENDIP OUTDOOR PURSUITS,01/06/2010,791.91,138.58,930.49,
EARLYRS19189872,Children & Younger Persons,Course Fees / Registration,115809,MEYNELL GAMES,01/06/2010,5635.50,986.21,6621.71,
EXCHEQ19210048,Children & Younger Persons,Other Hired Transport- Education,208557,MIKES TAXIS,01/06/2010,502.00,0.00,502.00,
ECONEUR19197727,"Environment, Economy & Culture",Fees & Charges,15728,NORTH DEVON +,01/06/2010,3000.00,0.00,3000.00,
EXCHEQ19208804,Children & Younger Persons,Books (Incl Sheet Music,17404,OXFORD UNIVERSITY PRESS,01/06/2010,509.85,0.00,509.85,
EXCHEQ19209658,Children & Younger Persons,Education Equip/Books Purchase,22002,PEARSON EDUCATION,01/06/2010,1173.00,0.00,1173.00,
EXCHEQ19209802,Children & Younger Persons,Consumable Materials,260982,PHOENIX,01/06/2010,686.48,120.13,806.61,
BRSWAD18961813,Adult & Community Services,Postage,13720,PITNEY BOWES - POSTAGE BY PHONE,01/06/2010,1009.00,1.57,1010.57,
EXCHEQ19210050,Children & Younger Persons,Postage,6536,POSTAGE BY PHONE,01/06/2010,2008.00,1.40,2009.40,
EXCHEQ19209987,Children & Younger Persons,It Equip & Software & Related Exp,4252,Q E S ELECTRICAL,01/06/2010,518.90,90.81,609.71,
CFADDAY18967805,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,2907.68,0.00,2907.68,
CFADDAY18967808,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,2578.72,0.00,2578.72,
CFADDAY18967810,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,1070.16,0.00,1070.16,
CFADDAY18967811,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,1953.96,0.00,1953.96,
CFADDAY18967812,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,548.80,0.00,548.80,
CFADDAY18967813,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,850.64,0.00,850.64,
CFADDAY18967815,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,1536.64,0.00,1536.64,
CFADDAY18967817,Adult & Community Services,Individualised Support,91406,QUAY CARE,01/06/2010,686.00,0.00,686.00,
CFADDOM18979708,Adult & Community Services,Dom Care Spot,91406,QUAY CARE,01/06/2010,1234.80,0.00,1234.80,
CFADDOM18979710,Adult & Community Services,Dom Care Spot,91406,QUAY CARE,01/06/2010,514.50,0.00,514.50,
EXCHEQ19210051,Children & Younger Persons,Scraps Interface Error Suspense,232268,QUEST ENVIRONMENTAL SOLUTIONSLTD,01/06/2010,995.00,174.13,1169.13,
EXCHEQ19208855,Children & Younger Persons,Misc Other,73574,RIVERSIDE LEISURE CENTRE,01/06/2010,679.15,118.85,798.00,
CFADDAY18967784,Adult & Community Services,Individualised Support,89881,ROBERT OWEN COMMUNITIES,01/06/2010,634.20,0.00,634.20,
CFADDAY18967785,Adult & Community Services,Individualised Support,89881,ROBERT OWEN COMMUNITIES,01/06/2010,2313.56,0.00,2313.56,
CFADDAY18967786,Adult & Community Services,Individualised Support,89881,ROBERT OWEN COMMUNITIES,01/06/2010,2252.40,0.00,2252.40,
CFADDAY18967787,Adult & Community Services,Individualised Support,89881,ROBERT OWEN COMMUNITIES,01/06/2010,2252.48,0.00,2252.48,
CFADDAY18967789,Adult & Community Services,Individualised Support,89881,ROBERT OWEN COMMUNITIES,01/06/2010,561.66,0.00,561.66,
EXCHEQ19209734,Children & Younger Persons,Items For Resale,67509,SCHOOL TRENDS,01/06/2010,993.30,5.69,998.99,
EXCHEQ19209052,Children & Younger Persons,Insurance other - external,70268,SCHOOLS ADVISORY SERVICE,01/06/2010,791.96,0.00,791.96,
EXCHEQ19207021,Children & Younger Persons,Catering Contractors charges,185272,SCOLAREST(BIRMINGHAM),01/06/2010,1385.45,22.27,1407.72,
CFADDAY18967764,Adult & Community Services,Individualised Support,76729,SENSE,01/06/2010,548.64,0.00,548.64,
EXCHEQ19209934,Children & Younger Persons,Capital F&E,21387,SOUTH WEST COMMUNICATIONS GROUP,01/06/2010,1955.40,342.20,2297.60,
EXCHEQ19209935,Children & Younger Persons,Capital F&E,21387,SOUTH WEST COMMUNICATIONS GROUP,01/06/2010,660.70,115.62,776.32,
EXCHEQ19208465,Children & Younger Persons,External Works,227005,SQUIRES PHIL BUILDING & CLEANING,01/06/2010,478.00,83.65,561.65,
EXCHEQ19209905,Children & Younger Persons,Educational Visits,69503,ST GEORGES HOUSE,01/06/2010,2964.47,518.78,3483.25,
DPSCITT19187305,Children & Younger Persons,Consultancy / Professional Fees,206046,STEWART WENDY,01/06/2010,510.00,0.00,510.00,
EXCHEQ19209978,Children & Younger Persons,Insurance other - external,82214,SUPPLYPLAN,01/06/2010,1953.84,0.00,1953.84,
CFADDAY18967828,Adult & Community Services,Day Care Spot,121582,TRENOVISSICK DOM CARE AGENCY,01/06/2010,754.60,0.00,754.60,
CFADDOM18979732,Adult & Community Services,Dom Care Spot,121582,TRENOVISSICK DOM CARE AGENCY,01/06/2010,554.40,0.00,554.40,
CFADDOM18979735,Adult & Community Services,Dom Care Spot,121582,TRENOVISSICK DOM CARE AGENCY,01/06/2010,1108.80,0.00,1108.80,
CFADDOM18979736,Adult & Community Services,Dom Care Spot,121582,TRENOVISSICK DOM CARE AGENCY,01/06/2010,1031.80,0.00,1031.80,
CFADDOM18979737,Adult & Community Services,Dom Care Spot,121582,TRENOVISSICK DOM CARE AGENCY,01/06/2010,1524.60,0.00,1524.60,
HQ19462690,"Environment, Economy & Culture",Subscriptions,96777,UK LOCAL AUTHORITY WORLD,01/06/2010,500.00,0.00,500.00,
EXCHEQ19209155,Children & Younger Persons,Misc Other,71851,VANAGS EDWARD T/A BALTIC TRADING,01/06/2010,624.00,0.00,624.00,
EXCHEQ19209687,Children & Younger Persons,Items For Resale,233597,VOYAGER SCHOOL TRAVEL,01/06/2010,3350.00,0.00,3350.00,
EXCHEQ19210008,Children & Younger Persons,Scraps Interface Error Suspense,178725,WHIZZ EDUCATION,01/06/2010,1140.00,199.50,1339.50,
EXCHEQ19208820,Children & Younger Persons,External Trainers Costs,236733,WRING DEBORAH J MS,01/06/2010,2500.00,437.50,2937.50,
EXCHEQ19208821,Children & Younger Persons,External Trainers Costs,236733,WRING DEBORAH J MS,01/06/2010,1200.00,210.00,1410.00,
EXCHEQ19209906,Children & Younger Persons,Furniture - purchase / repair,245908,XYLEM HOLDINGS LTD,01/06/2010,492.55,86.20,578.75,
EXCHEQ19209949,Children & Younger Persons,Educational Visits,192311,YARD 1 STUDIO,01/06/2010,700.00,0.00,700.00,
EXCHEQ19209695,Children & Younger Persons,Consumable Materials,200515,YORKSHIRE PURCHASING ORGANISATN,01/06/2010,543.55,95.12,638.67,
EDUC19203436,Children & Younger Persons,Misc Other,120708,YOUNG DEVON,01/06/2010,18097.00,0.00,18097.00,
EXCHEQ19209603,Children & Younger Persons,Examination Fees,246137,A B R S M,01/06/2010,1594.10,0.00,1594.10,
CSET18474188,Children & Younger Persons,Indep Sch Fees-Playgroup Place,162726,OAK TREE NURSERY,01/06/2010,696.00,0.00,696.00,
DPMANUAL19169870,Corporate Resources,Direct Delivery (DPS),20180,ADVANCED MOULDS LTD,01/06/2010,564.90,98.86,663.76,
DDRC19152619,"Environment, Economy & Culture",Hire / Rent of Rooms / Premises,226198,GROSVENOR HOTEL THE,01/06/2010,490.53,46.47,537.00,
EXCHEQ19209515,Children & Younger Persons,Training Courses/Conf./Exam Fees/Venues,29001,HIGHBULLEN HOTEL,01/06/2010,1610.21,281.79,1892.00,
CFCLEAV19058188,Children & Younger Persons,Cl-Relevant Child-Other Costs,185609,BEAVER,01/06/2010,500.00,0.00,500.00,
EXCHEQ19208713,Children & Younger Persons,Capital Building Works,209153,CARR,01/06/2010,1527.50,0.00,1527.50,
ECONEUR19197729,"Environment, Economy & Culture",Fees & Charges,96350,DONE,01/06/2010,693.20,0.00,693.20,
CFBOUT19030841,Children & Younger Persons,Addt Cost For Dept,177730,GANDER,01/06/2010,635.90,0.00,635.90,
CFBOUT19030985,Children & Younger Persons,Weekly Allowances,262025,GIBBINGS,01/06/2010,932.85,0.00,932.85,
CFADDAY18967847,Adult & Community Services,Individualised Support,196903,GREENAWAY,01/06/2010,578.80,0.00,578.80,
CFADDAY18967854,Adult & Community Services,Individualised Support,196903,GREENAWAY,01/06/2010,607.74,0.00,607.74,
EXCHEQ19208752,Children & Younger Persons,Printing & Stationery,88866,HERBERT,01/06/2010,528.00,0.00,528.00,
EXCHEQ19209970,Children & Younger Persons,Internal Works,14941,MARTIN,01/06/2010,661.66,115.79,777.45,
DHRP19156523,Corporate Resources,Consultancy / Professional Fees,231701,NICKELLS,01/06/2010,585.00,0.00,585.00,
EXCHEQ19209464,Children & Younger Persons,Capital F&E,247740,RANDS,01/06/2010,600.00,0.00,600.00,
EXCHEQ19208453,Children & Younger Persons,Capital Fees,263282,SZANISZLO,01/06/2010,550.00,0.00,550.00,
RESTRAT19561656,Children & Younger Persons,Consultancy / Professional Fees,195841,TAYLOR,01/06/2010,1990.00,0.00,1990.00,
FINEAAD19397274,Adult & Community Services,Provisions,16295,3663  (IVYBRIDGE),01/06/2010,553.66,9.84,563.50,
EXCHEQ19209118,Children & Younger Persons,Provisions,6550,3663 (SCARISBRICK),01/06/2010,547.11,14.29,561.40,
EARLYRS19189875,Children & Younger Persons,Course Fees / Registration,175183,ACACIA TRAINING & DEVELOPMENT LT,01/06/2010,1600.00,0.00,1600.00,
CYPSWLOC19138736,Children & Younger Persons,Cl-Fin Supp-Former Rel-Accom,263346,ACCOMMOLET DEVON LTD,01/06/2010,580.00,0.00,580.00,
NPSWI19516122,Chief Executives,Building Mtce Works,244013,ACCORD LIFT SERVICES LTD,01/06/2010,1264.00,221.20,1485.20,
NPSWI19516123,Chief Executives,Building Mtce Works,244013,ACCORD LIFT SERVICES LTD,01/06/2010,1272.50,222.69,1495.19,
