UNIQUE REF,Description,Element Description,Entity,ENEntity Name,PymtDate,SumOfNet Amt,SumOfVatAmt,SumOfGross Amt,
CFADDAY18285107,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,2345.00,0.00,2345.00,
CFADDAY18285108,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,2471.56,0.00,2471.56,
CFADDAY18285109,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,2547.60,0.00,2547.60,
CFADDAY18285110,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,2004.84,0.00,2004.84,
CFADDAY18285111,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,3329.32,0.00,3329.32,
CFADDAY18285177,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,24/05/2010,7637.96,0.00,7637.96,
CFADRES18419515,Adult & Community Services,Residential Care Spot,89773,ADELAIDE LODGE CARE HOME PRTNSHP,05/05/2010,11614.63,0.00,11614.63,
CFADRES18420199,Adult & Community Services,Residential Care Spot,89773,ADELAIDE LODGE CARE HOME PRTNSHP,19/05/2010,11658.36,0.00,11658.36,
CFADDOM18345665,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,10/05/2010,635.25,0.00,635.25,
CFADDOM18345666,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,10/05/2010,646.80,0.00,646.80,
CFADDOM18979635,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,26/05/2010,974.05,0.00,974.05,
CFSUPP18240982,Adult & Community Services,Accomodation Based Services,226086,ALABARE CHRISTIAN CARE CENTRES,19/05/2010,1546.64,0.00,1546.64,
CFADRES18419402,Adult & Community Services,Residential Care Spot,87208,ALBAN HOUSE,05/05/2010,10109.66,0.00,10109.66,
CFADRES18420086,Adult & Community Services,Residential Care Spot,87208,ALBAN HOUSE,19/05/2010,14247.52,0.00,14247.52,
CFADRES18420034,Adult & Community Services,Nursing Care Spot,256868,ALBANY PARK NURSING HOME,05/05/2010,1014.72,0.00,1014.72,
CFADRES18420718,Adult & Community Services,Nursing Care Spot,256868,ALBANY PARK NURSING HOME,19/05/2010,1014.72,0.00,1014.72,
CFADRES18419898,Adult & Community Services,Residential Care Spot,207479,ALIAS CHOICE LTD,05/05/2010,3409.62,0.00,3409.62,
CFADRES18420583,Adult & Community Services,Residential Care Spot,207479,ALIAS CHOICE LTD,19/05/2010,3409.62,0.00,3409.62,
CFADRES18419642,Adult & Community Services,Residential Care Spot,90897,ALLIED BACK-UP PROJECT,05/05/2010,2457.70,0.00,2457.70,
CFADRES18420326,Adult & Community Services,Residential Care Spot,90897,ALLIED BACK-UP PROJECT,19/05/2010,2457.70,0.00,2457.70,
CFADRES18419530,Adult & Community Services,Residential Care Spot,89941,ALPHINGTON LODGE RESIDENTIAL HME,05/05/2010,4896.90,0.00,4896.90,
CFADRES18420214,Adult & Community Services,Residential Care Spot,89941,ALPHINGTON LODGE RESIDENTIAL HME,19/05/2010,4896.90,0.00,4896.90,
CFADRES18419561,Adult & Community Services,Residential Care Spot,90255,ALPINE LODGE RCH LTD,05/05/2010,915.96,0.00,915.96,
CFADRES18420245,Adult & Community Services,Residential Care Spot,90255,ALPINE LODGE RCH LTD,19/05/2010,915.96,0.00,915.96,
CFADRES18420028,Adult & Community Services,Residential Care Spot,254543,AMBER CARE TA STEWTON HOUSE N H,05/05/2010,782.00,0.00,782.00,
CFADRES18420712,Adult & Community Services,Residential Care Spot,254543,AMBER CARE TA STEWTON HOUSE N H,19/05/2010,782.00,0.00,782.00,
CFADDOM18345846,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,12/05/2010,1199.52,0.00,1199.52,
CFADDOM18346039,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,978.18,0.00,978.18,
CFADDOM18346040,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,2577.54,0.00,2577.54,
CFADDOM18346046,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,1120.98,0.00,1120.98,
CFADDOM18346049,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,599.76,0.00,599.76,
CFADDOM18346051,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,571.20,0.00,571.20,
CFADDOM18346067,Adult & Community Services,Dom Care Spot,210685,ANGEL HOMECARE,17/05/2010,1299.48,0.00,1299.48,
CFADRES18420335,Adult & Community Services,Residential Care Spot,90966,ANGELA COURT,19/05/2010,17220.50,0.00,17220.50,
CFADRES18419416,Adult & Community Services,Residential Care Spot,87559,ANNING BJ,05/05/2010,3791.56,0.00,3791.56,
CFADRES18420100,Adult & Community Services,Residential Care Spot,87559,ANNING BJ,19/05/2010,3791.56,0.00,3791.56,
CFADRES18419944,Adult & Community Services,Residential Care Spot,229190,ARK CARE HOMES LTD (CF PAYMENTS),05/05/2010,18273.80,0.00,18273.80,
CFADDAY18285115,Adult & Community Services,Individualised Support,216752,AROHA HOUSE LIMITED,19/05/2010,2211.20,0.00,2211.20,
CFADDAY18285116,Adult & Community Services,Day Care Spot,216752,AROHA HOUSE LIMITED,19/05/2010,2211.20,0.00,2211.20,
CFADDAY18285117,Adult & Community Services,Individualised Support,216752,AROHA HOUSE LIMITED,19/05/2010,2211.20,0.00,2211.20,
CFADDAY18285118,Adult & Community Services,Day Care Spot,216752,AROHA HOUSE LIMITED,19/05/2010,2211.20,0.00,2211.20,
CFADDAY18285119,Adult & Community Services,Day Care Spot,216752,AROHA HOUSE LIMITED,19/05/2010,2211.20,0.00,2211.20,
CFADRES18419469,Adult & Community Services,Residential Care Spot,89227,ARUNDEL HOUSE,05/05/2010,8363.31,0.00,8363.31,
CFADRES18419875,Adult & Community Services,Residential Care Spot,201385,ARUNDEL HOUSE,05/05/2010,4379.00,0.00,4379.00,
CFADRES18420153,Adult & Community Services,Residential Care Spot,89227,ARUNDEL HOUSE,19/05/2010,8363.86,0.00,8363.86,
CFADRES18420560,Adult & Community Services,Residential Care Spot,201385,ARUNDEL HOUSE,19/05/2010,4379.00,0.00,4379.00,
CFADRES18419412,Adult & Community Services,Nursing Care Spot,87517,ASHDOWN CARE LTD,05/05/2010,9611.46,0.00,9611.46,
CFADRES18419810,Adult & Community Services,Residential Care Spot,173331,ASHFIELD RESIDENTIAL HOME,05/05/2010,10578.11,0.00,10578.11,
CFADRES18420493,Adult & Community Services,Residential Care Spot,173331,ASHFIELD RESIDENTIAL HOME,19/05/2010,10578.64,0.00,10578.64,
CFADRES18419454,Adult & Community Services,Residential Care Spot,89097,ASHLEIGH MANOR,05/05/2010,782.00,0.00,782.00,
CFADRES18420138,Adult & Community Services,Residential Care Spot,89097,ASHLEIGH MANOR,19/05/2010,782.00,0.00,782.00,
CFADRES18419589,Adult & Community Services,Residential Care Spot,90460,ASSISSI COMMUNITY CARE,05/05/2010,1924.44,0.00,1924.44,
CFADRES18420272,Adult & Community Services,Residential Care Spot,90460,ASSISSI COMMUNITY CARE,19/05/2010,1924.44,0.00,1924.44,
CFADDAY18285183,Adult & Community Services,Individualised Support,231671,ASSISTED LIVING SOUTH WEST,24/05/2010,3650.96,0.00,3650.96,
CFADDAY18285184,Adult & Community Services,Individualised Support,231671,ASSISTED LIVING SOUTH WEST,24/05/2010,1681.00,0.00,1681.00,
CFADRES18419962,Adult & Community Services,Residential Care Spot,231831,ASTOR HALL,05/05/2010,1012.80,0.00,1012.80,
CFADRES18420648,Adult & Community Services,Residential Care Spot,231831,ASTOR HALL,19/05/2010,1012.80,0.00,1012.80,
CFADDAY18284984,Adult & Community Services,Individualised Support,202818,ATLANTIC SUPPORT (DEVON) LTD,17/05/2010,2400.00,0.00,2400.00,
CFADDAY18284985,Adult & Community Services,Individualised Support,202818,ATLANTIC SUPPORT (DEVON) LTD,17/05/2010,576.00,0.00,576.00,
CFADDAY18285105,Adult & Community Services,Individualised Support,202818,ATLANTIC SUPPORT (DEVON) LTD,19/05/2010,576.00,0.00,576.00,
CFADDAY18967723,Adult & Community Services,Individualised Support,202818,ATLANTIC SUPPORT (DEVON) LTD,26/05/2010,576.00,0.00,576.00,
CFADDAY18967724,Adult & Community Services,Individualised Support,202818,ATLANTIC SUPPORT (DEVON) LTD,26/05/2010,2400.00,0.00,2400.00,
CFADRES18419717,Adult & Community Services,Residential Care Spot,118327,AVENS CARE HOMES LTD,05/05/2010,10924.54,0.00,10924.54,
CFADRES18420401,Adult & Community Services,Residential Care Spot,118327,AVENS CARE HOMES LTD,19/05/2010,10302.29,0.00,10302.29,
CFADRES18419924,Adult & Community Services,Nursing Care Spot,220726,AVON COURT CARE CENTRE,05/05/2010,937.74,0.00,937.74,
CFADRES18420610,Adult & Community Services,Nursing Care Spot,220726,AVON COURT CARE CENTRE,19/05/2010,937.74,0.00,937.74,
CFADDOM18345634,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,05/05/2010,1232.00,0.00,1232.00,
CFADDOM18345635,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,05/05/2010,546.72,0.00,546.72,
CFADDOM18345636,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,05/05/2010,1108.80,0.00,1108.80,
CFADDOM18345739,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,12/05/2010,18903.49,0.00,18903.49,
CFADDOM18345740,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,12/05/2010,25483.14,0.00,25483.14,
CFADDOM18345741,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,12/05/2010,21059.50,0.00,21059.50,
CFADDOM18345742,Adult & Community Services,Dom Care Spot,202776,AXE VALLEY CARE LTD,12/05/2010,7475.18,0.00,7475.18,
CFADRES18419579,Adult & Community Services,Nursing Care Spot,90416,BARCHESTER HEALTHCARE HOMES LTD,05/05/2010,7996.83,0.00,7996.83,
CFADRES18420262,Adult & Community Services,Nursing Care Spot,90416,BARCHESTER HEALTHCARE HOMES LTD,19/05/2010,9127.22,0.00,9127.22,
CFADRES18419907,Adult & Community Services,Nursing Care Spot,214737,BARHAM HOUSE NURSING HOME,05/05/2010,812.90,0.00,812.90,
CFADRES18420592,Adult & Community Services,Nursing Care Spot,214737,BARHAM HOUSE NURSING HOME,19/05/2010,812.90,0.00,812.90,
CFADRES18419462,Adult & Community Services,Residential Care Spot,89142,BARKER KI & GM T/A DAWN R C H,05/05/2010,1792.46,0.00,1792.46,
CFADRES18420146,Adult & Community Services,Residential Care Spot,89142,BARKER KI & GM T/A DAWN R C H,19/05/2010,1792.46,0.00,1792.46,
CFADRES18419478,Adult & Community Services,Residential Care Spot,89354,BARN PARK RESIDENTIAL HOME,05/05/2010,5572.83,0.00,5572.83,
CFADRES18420162,Adult & Community Services,Residential Care Spot,89354,BARN PARK RESIDENTIAL HOME,19/05/2010,5323.06,0.00,5323.06,
CFADRES18419797,Adult & Community Services,Residential Care Spot,168283,BARNFIELD HOUSE,05/05/2010,735.44,0.00,735.44,
CFADRES18420480,Adult & Community Services,Residential Care Spot,168283,BARNFIELD HOUSE,19/05/2010,735.44,0.00,735.44,
CFADRES18419409,Adult & Community Services,Residential Care Spot,87455,BARNSTAPLE OLD PEOPLES H A HOSTL,05/05/2010,8706.25,0.00,8706.25,
CFADRES18420093,Adult & Community Services,Residential Care Spot,87455,BARNSTAPLE OLD PEOPLES H A HOSTL,19/05/2010,6349.10,0.00,6349.10,
CFADRES18419822,Adult & Community Services,Residential Care Spot,178688,BARTON HOUSE RESIDENTIAL HOME,05/05/2010,6350.95,0.00,6350.95,
CFADRES18420506,Adult & Community Services,Residential Care Spot,178688,BARTON HOUSE RESIDENTIAL HOME,19/05/2010,3332.50,0.00,3332.50,
CFADRES18419896,Adult & Community Services,Residential Care Spot,207195,BARTON LODGE RESIDENTIAL HOME,05/05/2010,2523.74,0.00,2523.74,
CFADRES18420581,Adult & Community Services,Residential Care Spot,207195,BARTON LODGE RESIDENTIAL HOME,19/05/2010,2523.74,0.00,2523.74,
CFADRES18419566,Adult & Community Services,Residential Care Spot,90280,BAXENDALE AM/MRS NB TA AMELIA HS,05/05/2010,9446.16,0.00,9446.16,
CFADRES18420250,Adult & Community Services,Residential Care Spot,90280,BAXENDALE AM/MRS NB TA AMELIA HS,19/05/2010,9446.16,0.00,9446.16,
CFADRES18419693,Adult & Community Services,Residential Care Spot,105345,BE SMART SOUTH WEST LTD,05/05/2010,9077.24,0.00,9077.24,
CFADRES18420376,Adult & Community Services,Residential Care Spot,105345,BE SMART SOUTH WEST LTD,19/05/2010,9077.24,0.00,9077.24,
CFADRES18419648,Adult & Community Services,Residential Care Spot,90958,BEACON COURT,05/05/2010,8056.38,0.00,8056.38,
CFADRES18420332,Adult & Community Services,Residential Care Spot,90958,BEACON COURT,19/05/2010,8541.07,0.00,8541.07,
CFADRES18419942,Adult & Community Services,Residential Care Spot,228818,BECKSIDE NURSING & RESIDENTIAL H,05/05/2010,644.31,0.00,644.31,
CFADRES18420628,Adult & Community Services,Residential Care Spot,228818,BECKSIDE NURSING & RESIDENTIAL H,19/05/2010,646.58,0.00,646.58,
CFADRES18419448,Adult & Community Services,Residential Care Spot,89053,BEECH HOUSE(EXETER)LTD,05/05/2010,13213.38,0.00,13213.38,
CFADRES18420132,Adult & Community Services,Residential Care Spot,89053,BEECH HOUSE(EXETER)LTD,19/05/2010,13213.38,0.00,13213.38,
CFADRES18419938,Adult & Community Services,Nursing Care Spot,226788,BEECH LAWN NURSING & RES HOME,05/05/2010,1050.00,0.00,1050.00,
CFADRES18420624,Adult & Community Services,Nursing Care Spot,226788,BEECH LAWN NURSING & RES HOME,19/05/2010,1050.00,0.00,1050.00,
CFADRES18419778,Adult & Community Services,Residential Care Spot,159338,BEECHCROFT CARE HOME,05/05/2010,1599.34,0.00,1599.34,
CFADRES18420461,Adult & Community Services,Residential Care Spot,159338,BEECHCROFT CARE HOME,19/05/2010,730.00,0.00,730.00,
CFADRES18419825,Adult & Community Services,Residential Care Spot,180408,BEECHMOUNT RESIDENTIAL HOME LTD,05/05/2010,786.54,0.00,786.54,
CFADRES18420509,Adult & Community Services,Residential Care Spot,180408,BEECHMOUNT RESIDENTIAL HOME LTD,19/05/2010,786.54,0.00,786.54,
CFADRES18419900,Adult & Community Services,Residential Care Spot,208839,BELMONT GRANGE,05/05/2010,7854.45,0.00,7854.45,
CFADRES18420585,Adult & Community Services,Residential Care Spot,208839,BELMONT GRANGE,19/05/2010,9593.23,0.00,9593.23,
CFADRES18420050,Adult & Community Services,Nursing Care Spot,261287,BELMONT LODGE,05/05/2010,1780.60,0.00,1780.60,
CFADRES18420734,Adult & Community Services,Nursing Care Spot,261287,BELMONT LODGE,19/05/2010,1780.60,0.00,1780.60,
CFADRES18419647,Adult & Community Services,Residential Care Spot,90943,BEN-MOTOR & ALLIED TRADES B FUND,05/05/2010,872.00,0.00,872.00,
CFADRES18420331,Adult & Community Services,Residential Care Spot,90943,BEN-MOTOR & ALLIED TRADES B FUND,19/05/2010,872.00,0.00,872.00,
CFADRES18420112,Adult & Community Services,Residential Care Spot,88708,BESSMOUNT HOUSE,19/05/2010,2480.00,0.00,2480.00,
CFADRES18420739,Adult & Community Services,Residential Care Spot,88708,BESSMOUNT HOUSE,19/05/2010,2480.00,0.00,2480.00,
CFADRES18419531,Adult & Community Services,Residential Care Spot,89948,BETTERCARE UK LTD,05/05/2010,1310.14,0.00,1310.14,
CFADRES18420215,Adult & Community Services,Residential Care Spot,89948,BETTERCARE UK LTD,19/05/2010,1310.14,0.00,1310.14,
CFADRES18419635,Adult & Community Services,Residential Care Spot,90844,BIDNA HOUSE,05/05/2010,21324.28,0.00,21324.28,
CFADRES18420319,Adult & Community Services,Residential Care Spot,90844,BIDNA HOUSE,19/05/2010,20981.42,0.00,20981.42,
CFADDOM18346215,Adult & Community Services,Dom Care Spot,89979,BINDON CARE LTD,19/05/2010,785.40,0.00,785.40,
CFADRES18419534,Adult & Community Services,Expenditure Control Account,89979,BINDON CARE LTD,05/05/2010,11646.48,0.00,11646.48,
CFADRES18420218,Adult & Community Services,Expenditure Control Account,89979,BINDON CARE LTD,19/05/2010,11194.94,0.00,11194.94,
CFADRES18420373,Adult & Community Services,Nursing Care Spot,103188,BLACKDOWN CARE LTD,19/05/2010,8711.00,0.00,8711.00,
CFADDOM18346363,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,1117.41,0.00,1117.41,
CFADDOM18346366,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,549.78,0.00,549.78,
CFADDOM18346377,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,589.05,0.00,589.05,
CFADDOM18346380,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,606.90,0.00,606.90,
CFADDOM18346383,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,1781.43,0.00,1781.43,
CFADDOM18346386,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,813.96,0.00,813.96,
CFADDOM18346389,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,549.78,0.00,549.78,
CFADDOM18346395,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,799.68,0.00,799.68,
CFADDOM18346398,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,656.88,0.00,656.88,
CFADDOM18346403,Adult & Community Services,Dom Care Spot,237624,BLUEBIRD CARE (NEWTON ABBOT),19/05/2010,806.82,0.00,806.82,
CFADRES18419480,Adult & Community Services,Residential Care Spot,89370,BODMEYRICK REIDENTIAL HOME,05/05/2010,8946.83,0.00,8946.83,
CFADRES18420164,Adult & Community Services,Residential Care Spot,89370,BODMEYRICK REIDENTIAL HOME,19/05/2010,9152.52,0.00,9152.52,
CFADRES18419581,Adult & Community Services,Residential Care Spot,90433,BOLEALLER HOUSE LTD,05/05/2010,16566.22,0.00,16566.22,
CFADRES18420264,Adult & Community Services,Residential Care Spot,90433,BOLEALLER HOUSE LTD,19/05/2010,16566.22,0.00,16566.22,
CFADRES18419912,Adult & Community Services,Residential Care Spot,215900,BRACKEN TOR HOUSE,05/05/2010,11260.96,0.00,11260.96,
CFADRES18420597,Adult & Community Services,Residential Care Spot,215900,BRACKEN TOR HOUSE,19/05/2010,10760.96,0.00,10760.96,
CFADRES18419773,Adult & Community Services,Residential Care Spot,157418,BRAEMAR HOUSE,05/05/2010,960.24,0.00,960.24,
CFADRES18420456,Adult & Community Services,Residential Care Spot,157418,BRAEMAR HOUSE,19/05/2010,960.24,0.00,960.24,
CFADRES18419763,Adult & Community Services,Nursing Care Spot,154485,BRAMBLE DOWN NURSING HOME,05/05/2010,1694.55,0.00,1694.55,
CFADRES18419481,Adult & Community Services,Residential Care Spot,89375,BRANDON RESIDENTIAL CARE HOME,05/05/2010,660.00,0.00,660.00,
CFADRES18420165,Adult & Community Services,Residential Care Spot,89375,BRANDON RESIDENTIAL CARE HOME,19/05/2010,660.00,0.00,660.00,
CFADRES18419596,Adult & Community Services,Residential Care Spot,90534,BRIARCROFT,05/05/2010,5858.18,0.00,5858.18,
CFADRES18420278,Adult & Community Services,Residential Care Spot,90534,BRIARCROFT,19/05/2010,5651.03,0.00,5651.03,
CFADRES18419504,Adult & Community Services,Residential Care Spot,89647,BRONTE RESIDENTIAL CARE HOME,05/05/2010,3735.84,0.00,3735.84,
CFADRES18420188,Adult & Community Services,Residential Care Spot,89647,BRONTE RESIDENTIAL CARE HOME,19/05/2010,3735.84,0.00,3735.84,
CFADRES18419835,Adult & Community Services,Residential Care Spot,186523,BROOK LODGE,05/05/2010,3214.24,0.00,3214.24,
CFADRES18420519,Adult & Community Services,Residential Care Spot,186523,BROOK LODGE,19/05/2010,3214.24,0.00,3214.24,
CFADRES18419791,Adult & Community Services,Residential Care Spot,162514,BRYNSWORTHY,05/05/2010,7238.12,0.00,7238.12,
CFADRES18420474,Adult & Community Services,Residential Care Spot,162514,BRYNSWORTHY,19/05/2010,7238.12,0.00,7238.12,
CFADRES18419431,Adult & Community Services,Nursing Care Spot,88739,BUPA CARE SERVICES,05/05/2010,862.00,0.00,862.00,
CFADRES18420115,Adult & Community Services,Nursing Care Spot,88739,BUPA CARE SERVICES,19/05/2010,862.00,0.00,862.00,
CFADDAY18284812,Adult & Community Services,Day Care Spot,203246,BURDON GRANGE,12/05/2010,515.50,0.00,515.50,
CFADDAY18284765,Adult & Community Services,Individualised Support,160108,BURLINGTON HOUSE,12/05/2010,730.58,0.00,730.58,
CFADRES18419784,Adult & Community Services,Residential Care Spot,160108,BURLINGTON HOUSE,05/05/2010,1938.92,0.00,1938.92,
CFADRES18420467,Adult & Community Services,Residential Care Spot,160108,BURLINGTON HOUSE,19/05/2010,1938.92,0.00,1938.92,
CFADRES18419407,Adult & Community Services,Residential Care Spot,87371,BURROW DOWN SUPPORT SERVICES LTD,05/05/2010,8966.10,0.00,8966.10,
CFADRES18420091,Adult & Community Services,Residential Care Spot,87371,BURROW DOWN SUPPORT SERVICES LTD,19/05/2010,8966.10,0.00,8966.10,
CFADRES18419526,Adult & Community Services,Residential Care Spot,89902,C0MMUNITY PROJECTS NORTH DEVON,05/05/2010,7964.24,0.00,7964.24,
CFADRES18420210,Adult & Community Services,Residential Care Spot,89902,C0MMUNITY PROJECTS NORTH DEVON,19/05/2010,7964.24,0.00,7964.24,
CFADRES18419946,Adult & Community Services,Residential Care Spot,229198,CAMBERLEY COTTAGE,05/05/2010,2026.70,0.00,2026.70,
CFADRES18420632,Adult & Community Services,Residential Care Spot,229198,CAMBERLEY COTTAGE,19/05/2010,2026.70,0.00,2026.70,
CFADRES18419970,Adult & Community Services,Nursing Care Spot,233206,CAMELLIA HSE-IN ADMINISTRATION,05/05/2010,5938.60,0.00,5938.60,
CFADRES18420656,Adult & Community Services,Nursing Care Spot,233206,CAMELLIA HSE-IN ADMINISTRATION,19/05/2010,6846.64,0.00,6846.64,
CFADDAY18284932,Adult & Community Services,Day Care Spot,105994,CAMPHILL DEVON COMMUNITY LTD,17/05/2010,634.08,0.00,634.08,
CFADRES18419698,Adult & Community Services,Residential Care Spot,105994,CAMPHILL DEVON COMMUNITY LTD,05/05/2010,15887.96,0.00,15887.96,
CFADRES18420381,Adult & Community Services,Residential Care Spot,105994,CAMPHILL DEVON COMMUNITY LTD,19/05/2010,14320.20,0.00,14320.20,
CFADDOM18346034,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,17/05/2010,600.60,0.00,600.60,
CFADDOM18346338,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,19/05/2010,629.46,0.00,629.46,
CFADDOM18346341,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,19/05/2010,1092.81,0.00,1092.81,
CFADDOM18345743,Adult & Community Services,Dom Care Spot,210505,CARETIME SERVICES LIMITED,12/05/2010,17315.90,0.00,17315.90,
CFADDOM18345744,Adult & Community Services,Dom Care Spot,210505,CARETIME SERVICES LIMITED,12/05/2010,18460.75,0.00,18460.75,
CFADRES18419984,Adult & Community Services,Residential Care Spot,240422,CARRINGTON HOUSE,05/05/2010,914.12,0.00,914.12,
CFADRES18420670,Adult & Community Services,Residential Care Spot,240422,CARRINGTON HOUSE,19/05/2010,914.12,0.00,914.12,
CFADRES18419557,Adult & Community Services,Residential Care Spot,90200,CASH DE,05/05/2010,16820.27,0.00,16820.27,
CFADRES18420241,Adult & Community Services,Residential Care Spot,90200,CASH DE,19/05/2010,16820.82,0.00,16820.82,
CFADRES18419514,Adult & Community Services,Nursing Care Spot,89760,CASTEL FROMA,05/05/2010,1812.78,0.00,1812.78,
CFADRES18420198,Adult & Community Services,Nursing Care Spot,89760,CASTEL FROMA,19/05/2010,1812.78,0.00,1812.78,
CFADRES18419679,Adult & Community Services,Residential Care Spot,101114,CASTLE DENE RESIDENTIAL CARE HOM,05/05/2010,851.70,0.00,851.70,
CFADRES18420363,Adult & Community Services,Residential Care Spot,101114,CASTLE DENE RESIDENTIAL CARE HOM,19/05/2010,851.70,0.00,851.70,
CFADRES18420608,Adult & Community Services,Residential Care Spot,220448,CASTLE HOUSE NURSING HOME,19/05/2010,7941.42,0.00,7941.42,
CFADRES18419584,Adult & Community Services,Residential Care Spot,90446,CASTLE ROAD RENT A/C,05/05/2010,687.54,0.00,687.54,
CFADRES18420267,Adult & Community Services,Residential Care Spot,90446,CASTLE ROAD RENT A/C,19/05/2010,687.54,0.00,687.54,
CFADRES18419917,Adult & Community Services,Residential Care Spot,217433,CASTLEWELLAN HOUSE(NEW OWNERS),05/05/2010,756.00,0.00,756.00,
CFADRES18420602,Adult & Community Services,Residential Care Spot,217433,CASTLEWELLAN HOUSE(NEW OWNERS),19/05/2010,756.00,0.00,756.00,
CFADRES18420023,Adult & Community Services,Residential Care Spot,251903,CATHERINE HOUSE,05/05/2010,1815.60,0.00,1815.60,
CFADRES18420708,Adult & Community Services,Residential Care Spot,251903,CATHERINE HOUSE,19/05/2010,1815.60,0.00,1815.60,
CFADRES18419966,Adult & Community Services,Nursing Care Spot,232408,CEDAR GRANGE,05/05/2010,853.40,0.00,853.40,
